lat_r,lon_r,start_rides,geometry,dot_class,index_right,zip,zip_class,matrix_cat,start_station_name
38.9053,-77.0503,1859,POINT (-8577200.161468966 4708115.673776526),large,70.0,20037,dark,High-turnover hub,23rd & M St NW
38.9053,-77.0502,12,POINT (-8577189.029519888 4708115.673776526),medium,70.0,20037,dark,Balanced,23rd & M St NW
38.9053,-77.0451,6,POINT (-8576621.300116843 4708115.673776526),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9053,-77.045,20,POINT (-8576610.168167762 4708115.673776526),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9053,-77.0449,8,POINT (-8576599.036218682 4708115.673776526),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9053,-77.0448,5,POINT (-8576587.904269604 4708115.673776526),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9053,-77.0447,9,POINT (-8576576.772320526 4708115.673776526),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9053,-77.0446,2,POINT (-8576565.640371446 4708115.673776526),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9053,-77.0445,1,POINT (-8576554.508422365 4708115.673776526),small,71.0,20036,dark,Net sink ZIP,20th & M St NW 
38.9053,-77.042,1,POINT (-8576276.209695382 4708115.673776526),small,71.0,20036,dark,Net sink ZIP,18th & M St NW
38.9053,-77.0347,7,POINT (-8575463.577412592 4708115.673776526),medium,68.0,20005,dark,Balanced,15th & M St NW
38.9053,-77.0346,7,POINT (-8575452.445463512 4708115.673776526),medium,68.0,20005,dark,Balanced,15th & M St NW
38.9053,-77.0345,3,POINT (-8575441.313514432 4708115.673776526),medium,68.0,20005,dark,Balanced,15th & M St NW
38.9053,-77.0344,2,POINT (-8575430.181565356 4708115.673776526),medium,68.0,20005,dark,Balanced,15th & M St NW
38.9053,-77.0343,1,POINT (-8575419.049616273 4708115.673776526),small,68.0,20005,dark,Net sink ZIP,15th & M St NW
38.9053,-77.0342,1,POINT (-8575407.917667195 4708115.673776526),small,68.0,20005,dark,Net sink ZIP,15th & M St NW
38.9053,-77.021,1,POINT (-8573938.500388725 4708115.673776526),small,59.0,20001,dark,Net sink ZIP,Convention Center / 7th & M St NW
38.9053,-77.0038,1,POINT (-8572023.805147078 4708115.673776526),small,52.0,20002,dark,Net sink ZIP,M St & Delaware Ave NE
38.9053,-77.0033,1,POINT (-8571968.145401683 4708115.673776526),small,52.0,20002,dark,Net sink ZIP,M St & Delaware Ave NE
38.9053,-77.0032,1,POINT (-8571957.013452604 4708115.673776526),small,52.0,20002,dark,Net sink ZIP,M St & Delaware Ave NE
38.9053,-77.0031,1,POINT (-8571945.881503524 4708115.673776526),small,52.0,20002,dark,Net sink ZIP,M St & Delaware Ave NE
38.9053,-77.003,1,POINT (-8571934.749554444 4708115.673776526),small,52.0,20002,dark,Net sink ZIP,M St & Delaware Ave NE
38.9053,-77.0028,1,POINT (-8571912.485656286 4708115.673776526),small,52.0,20002,dark,Net sink ZIP,M St & Delaware Ave NE
38.9053,-77.0027,2,POINT (-8571901.353707207 4708115.673776526),medium,52.0,20002,dark,Balanced,M St & Delaware Ave NE
38.9053,-77.0026,2,POINT (-8571890.22175813 4708115.673776526),medium,52.0,20002,dark,Balanced,M St & Delaware Ave NE
38.9054,-77.0652,3,POINT (-8578858.821881786 4708129.978801814),medium,46.0,20007,dark,Balanced,Potomac & M St NW
38.9054,-77.0506,1,POINT (-8577233.557316206 4708129.978801814),small,70.0,20037,dark,Net sink ZIP,23rd & M St NW
38.9054,-77.0505,3,POINT (-8577222.425367124 4708129.978801814),medium,70.0,20037,dark,Balanced,23rd & M St NW
38.9054,-77.0504,21,POINT (-8577211.293418046 4708129.978801814),medium,70.0,20037,dark,Balanced,23rd & M St NW
38.9054,-77.0503,18,POINT (-8577200.161468966 4708129.978801814),medium,70.0,20037,dark,Balanced,23rd & M St NW
